Date,Piligrims,Tonsures,Hundi,Special Day,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,Special Day Weighted,Piligrims_7Day_Avg,Festival Intensity
14-08-2022,92328,52969.0,4.36,0,61,37,34,30,0,12,0,1.0,74254.57142857143,0.0
15-08-2022,87692,36832.0,5.3,1,55,32,100,30,0,0,0,1.0336141322534529,77578.42857142857,77578.42857142857
16-08-2022,72851,34404.0,4.73,0,60,34,10,22,16,7,12,1.0,76946.14285714286,0.0
17-08-2022,83880,38710.0,5.86,0,59,33,27,17,0,6,15,1.0,78286.57142857143,0.0
18-08-2022,70674,35930.0,4.53,0,67,44,17,38,0,32,26,1.0,79275.14285714286,0.0
19-08-2022,64438,34361.0,4.53,1,61,32,26,16,0,12,7,1.0336141322534529,79326.42857142857,79326.42857142857
20-08-2022,79836,35916.0,4.56,0,70,38,28,14,0,17,0,1.0,78814.14285714286,0.0
21-08-2022,81523,37100.0,4.65,0,59,35,18,16,0,0,0,1.0,77270.57142857143,0.0
22-08-2022,72804,39142.0,4.82,0,58,29,45,18,0,9,19,1.0,75143.71428571429,0.0
23-08-2022,68467,35506.0,4.67,0,57,26,0,16,0,11,17,1.0,74517.42857142857,0.0
24-08-2022,74748,39086.0,4.45,0,60,34,0,25,25,37,26,1.0,73212.85714285714,0.0
