Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,holidays,Special Day Weighted,Piligrims_7Day_Avg,Festival intensity
86604,31536,3.89,32,23,0,37,0,33,0,1308,83.84,1723314600.0,1,1,68156.49102312156,1,1.0336141322534529,70431.71428571429,70431.71428571429
70728,29611,4.66,34,21,0,28,0,0,0,1621,84.2,1723401000.0,0,1,68156.49102312156,1,1.0336141322534529,71522.14285714286,71522.14285714286
73246,28133,4.35,33,19,0,28,0,32,0,1275,83.12,1723487400.0,0,1,72228.26222627738,1,1.0336141322534529,72523.71428571429,72523.71428571429
72967,32421,5.26,34,19,0,35,0,25,0,1308,84.02,1723573800.0,0,1,67318.39555961071,1,1.0336141322534529,72217.71428571429,72217.71428571429
76695,34395,3.9,30,21,0,27,0,0,0,1621,81.5,1723660200.0,0,2,74987.46222627738,1,1.0336141322534529,74097.71428571429,74097.71428571429
62625,34462,3.63,33,21,0,24,0,0,0,1621,81.86,1723746600.0,0,3,63731.46222627737,1,1.0336141322534529,73739.71428571429,73739.71428571429
77807,38340,4.02,33,24,0,28,0,27,0,1308,84.2,1723833000.0,1,1,71922.54794056309,1,1.0336141322534529,74381.71428571429,74381.71428571429
77807,31222,4.21,31,21,0,24,0,0,0,1621,83.84,1723919400.0,1,1,68156.49102312156,1,1.0336141322534529,73125.0,73125.0
71595,28981,3.89,28,21,0,28,0,39,0,962,83.84,1724005800.0,0,4,70907.46222627738,1,1.0336141322534529,73248.85714285714,73248.85714285714
73082,27972,4.46,30,20,0,39,0,25,0,962,83.48,1724092200.0,0,1,76233.06222627738,1,1.0336141322534529,73225.42857142857,73225.42857142857
74957,33066,4.12,29,22,0,38,0,27,0,1308,82.03999999999999,1724178600.0,0,1,68156.49102312156,1,1.0336141322534529,73509.71428571429,73509.71428571429
63202,34057,4.37,31,25,0,34,0,40,0,1275,86.0,1724265000.0,0,1,68156.49102312156,1,1.0336141322534529,71582.14285714286,71582.14285714286
69098,34707,3.56,34,26,0,43,0,36,0,962,86.0,1724351400.0,0,1,68156.49102312156,1,1.0336141322534529,72506.85714285714,72506.85714285714
79521,40152,3.87,46,52,100,100,69,84,100,1308,86.18,1724437800.0,1,1,68156.49102312156,1,1.0336141322534529,72751.71428571429,72751.71428571429
84060,34985,4.01,28,25,0,39,100,0,0,1308,84.38,1724524200.0,1,1,68156.49102312156,1,1.0336141322534529,73645.0,73645.0
76910,30320,4.26,29,19,0,31,0,42,0,1308,85.28,1724610600.0,0,1,74717.06222627738,1,1.0336141322534529,74404.28571428571,74404.28571428571
71153,25863,4.32,29,19,0,26,0,37,0,1308,82.94,1724697000.0,0,1,70553.86222627737,1,1.0336141322534529,74128.71428571429,74128.71428571429
76772,30293,3.82,27,20,0,33,0,31,0,962,81.5,1724783400.0,0,1,75049.06222627738,1,1.0336141322534529,74388.0,74388.0
62529,29730,4.51,27,19,0,23,0,0,0,1308,81.86,1724869800.0,0,1,68156.49102312156,1,1.0336141322534529,74291.85714285714,74291.85714285714
65080,27394,3.8,30,19,0,28,0,41,0,962,80.42,1724956200.0,0,1,68156.49102312156,1,1.0336141322534529,73717.85714285714,73717.85714285714
81207,31414,4.53,35,22,0,24,0,0,0,1621,74.66,1725042600.0,1,1,68156.49102312156,1,1.0336141322534529,73958.71428571429,73958.71428571429
74498,25355,4.06,32,19,0,22,0,0,0,1308,82.22,1725129000.0,1,1,68156.49102312156,1,1.0336141322534529,72592.71428571429,72592.71428571429
63936,18697,4.55,32,19,0,19,0,0,0,962,86.53999999999999,1725215400.0,0,1,68156.49102312156,1,1.0336141322534529,70739.28571428571,70739.28571428571
57817,17592,3.53,28,17,0,17,0,0,0,1275,85.82,1725301800.0,0,1,63674.21778183293,1,1.0336141322534529,68834.14285714286,68834.14285714286
57390,20628,3.45,35,16,0,26,0,0,0,1308,82.4,1725388200.0,0,1,68156.49102312156,1,1.0336141322534529,66065.28571428571,66065.28571428571
61142,21525,3.2,44,16,0,23,0,0,0,839,84.56,1725474600.0,0,2,62545.062226277376,1,1.0336141322534529,65867.14285714286,65867.14285714286
58100,20817,3.39,39,16,78,15,0,0,0,1621,83.30000000000001,1725561000.0,0,1,68156.49102312156,1,1.0336141322534529,64870.0,64870.0
83960,32342,2.96,32,18,0,25,0,28,0,1621,83.30000000000001,1725647400.0,1,1,73649.86222627737,1,1.0336141322534529,65263.28571428572,65263.28571428572
81178,25643,3.25,37,20,0,21,0,0,0,1621,78.80000000000001,1725733800.0,1,1,71435.46222627738,1,1.0336141322534529,66217.57142857143,66217.57142857143
67030,23476,3.6,55,16,0,19,0,0,0,1308,83.12,1725820200.0,0,1,68156.49102312156,1,1.0336141322534529,66659.57142857143,66659.57142857143
